회사명,직무,링크
[에너지IT기업 해줌] 데이터사이언티스트,데이터 사이언티스트,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45121023&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=recently&paid_fl=n&search_uuid=33adf848-f2b4-483d-923a-290081d6f872
[(주)비스텔리젼스] AI/빅데이터 - Data Scientist 연구개발,데이터 사이언티스트,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45085956&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=recently&paid_fl=n&search_uuid=33adf848-f2b4-483d-923a-290081d6f872
데이터 사이언티스트 (전문연구요원),데이터 사이언티스트,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=42703676&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=recently&paid_fl=n&search_uuid=33adf848-f2b4-483d-923a-290081d6f872
데이터 사이언티스트,데이터 사이언티스트,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45123866&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=recently&paid_fl=n&search_uuid=33adf848-f2b4-483d-923a-290081d6f872
R&D Data Scientist(데이터 사이언티스트),데이터 사이언티스트,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45351707&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=recently&paid_fl=n&search_uuid=33adf848-f2b4-483d-923a-290081d6f872
[윌로그] 데이터 과학자 (Data Scientist) 경력직 채용,데이터 사이언티스트,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45139113&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=recently&paid_fl=n&search_uuid=33adf848-f2b4-483d-923a-290081d6f872
데이터 사이언티스트 경력직 채용,데이터 사이언티스트,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45131634&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=recently&paid_fl=n&search_uuid=33adf848-f2b4-483d-923a-290081d6f872
"데이터 사이언티스트(주35시간, 풀재택) [AI/빅데이터 플랫폼]",데이터 사이언티스트,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45340535&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=recently&paid_fl=n&search_uuid=33adf848-f2b4-483d-923a-290081d6f872
Data Scientist,데이터 사이언티스트,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45315793&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=recently&paid_fl=n&search_uuid=33adf848-f2b4-483d-923a-290081d6f872
DataScientist 및 Backend 개발자 모집합니다,데이터 사이언티스트,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45308347&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=recently&paid_fl=n&search_uuid=33adf848-f2b4-483d-923a-290081d6f872
데이터 사이언티스트(경력),데이터 사이언티스트,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45341367&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=recently&paid_fl=n&search_uuid=33adf848-f2b4-483d-923a-290081d6f872
데이터사이언티스트 경력직 채용,데이터 사이언티스트,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45144486&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=recently&paid_fl=n&search_uuid=33adf848-f2b4-483d-923a-290081d6f872
AI 전문 기업 데이터 사이언티스트 (Data Scientist) PM급,데이터 사이언티스트,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45287292&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=recently&paid_fl=n&search_uuid=33adf848-f2b4-483d-923a-290081d6f872
[ 인공지능 컨설팅 ] Data Scientist (경력 및 박사급),데이터 사이언티스트,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45094893&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=recently&paid_fl=n&search_uuid=33adf848-f2b4-483d-923a-290081d6f872
Data Scientist(2년 이상),데이터 사이언티스트,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=42123295&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=recently&paid_fl=n&search_uuid=33adf848-f2b4-483d-923a-290081d6f872
Data Scientist (전력 설비) (전문연구요원 가능),데이터 사이언티스트,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=44875517&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=recently&paid_fl=n&search_uuid=33adf848-f2b4-483d-923a-290081d6f872
긴급) 업계 최고기업 - Data Scientist - 최우대,데이터 사이언티스트,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45348060&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=recently&paid_fl=n&search_uuid=33adf848-f2b4-483d-923a-290081d6f872
시니어 데이터사이언티스트,데이터 사이언티스트,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45355411&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=recently&paid_fl=n&search_uuid=33adf848-f2b4-483d-923a-290081d6f872
Data Scientist 경력 채용,데이터 사이언티스트,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=44944583&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=recently&paid_fl=n&search_uuid=33adf848-f2b4-483d-923a-290081d6f872
데이터 엔지니어 / 사이언티스트 모집,데이터 사이언티스트,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45300934&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=recently&paid_fl=n&search_uuid=33adf848-f2b4-483d-923a-290081d6f872
데이터 사이언티스트,데이터 사이언티스트,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=44598995&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=recently&paid_fl=n&search_uuid=33adf848-f2b4-483d-923a-290081d6f872
Data Scientist (전문연구요원 가능),데이터 사이언티스트,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45159775&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=recently&paid_fl=n&search_uuid=33adf848-f2b4-483d-923a-290081d6f872
Google Data Engineer/ Scientist 채용(경력),데이터 사이언티스트,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45332937&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=recently&paid_fl=n&search_uuid=33adf848-f2b4-483d-923a-290081d6f872
Data Scientist (대형 회전 설비) (전문연구요원 가능),데이터 사이언티스트,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=44553632&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=recently&paid_fl=n&search_uuid=33adf848-f2b4-483d-923a-290081d6f872
데이터 사이언티스트 (총괄급),데이터 사이언티스트,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=42703701&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=recently&paid_fl=n&search_uuid=33adf848-f2b4-483d-923a-290081d6f872
